replicate,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast,sampled_groups,sampled_rows
291,0.5156932496318686,0.4949825717233384,0.02071067790853015,181,295
292,0.48644869061520585,0.4495080917053173,0.036940598909888545,181,340
293,0.4671225168679431,0.5003928805331493,-0.03327036366520625,181,300
294,0.42046985141652093,0.4879348389182244,-0.06746498750170349,181,335
295,0.4791396368728803,0.45971425760021095,0.019425379272669352,181,318
296,0.46459984661464454,0.4434329530474147,0.02116689356722984,181,308
297,0.4614977451654819,0.4048610120038691,0.05663673316161283,181,329
298,0.45807022605613007,0.4533129137506949,0.004757312305435191,181,316
299,0.41464671142801085,0.47324010948239126,-0.05859339805438041,181,318
300,0.4377810522202192,0.5232949105316383,-0.08551385831141917,181,302
301,0.47283603341420527,0.4202961642560244,0.052539869158180874,181,347
302,0.4713533291014591,0.44665096807953947,0.02470236102191964,181,341
303,0.4915437067158614,0.4803001591695078,0.011243547546353594,181,298
304,0.5306502183326851,0.5113176242608045,0.019332594071880593,181,291
305,0.4271631899526907,0.5013000810670578,-0.07413689111436711,181,354
306,0.46499009493907456,0.47084414265775987,-0.005854047718685307,181,306
307,0.4722870679966512,0.44739218082726634,0.02489488716938487,181,318
308,0.4799752747501498,0.46885280983734656,0.01112246491280322,181,325
309,0.5033656741385079,0.45615667650708086,0.047208997631427,181,333
310,0.4970008517965631,0.4925284216800473,0.004472430116515824,181,303
311,0.45256667862165373,0.4142910808165695,0.038275597805084216,181,365
312,0.4826054527248675,0.49341110600939614,-0.010805653284528649,181,304
313,0.4560702113295005,0.4700229501898339,-0.013952738860333436,181,318
314,0.42011137689408995,0.43398377089719326,-0.013872394003103306,181,349
315,0.4470489888346324,0.5597020865122883,-0.11265309767765586,181,273
